Date,Open,High,Low,Close,Adj Close,Volume
2018-06-14,22.870001,23.202499,22.852501,23.139999,23.018553,4673600
2018-06-15,22.977501,23.065001,22.747499,22.977501,22.856905,6151200
2018-06-18,22.682501,22.980000,22.535000,22.950001,22.829548,5872800
2018-06-19,22.360001,22.812500,22.222500,22.809999,22.690281,6336400
2018-06-20,23.014999,23.322500,22.977501,23.135000,23.013580,4806000
2018-06-21,23.242500,23.282499,22.639999,22.725000,22.605732,5840000
2018-06-22,22.882500,22.895000,22.465000,22.580000,22.461491,4006800
2018-06-25,22.215000,22.275000,21.202499,21.597500,21.484148,12742400
2018-06-26,21.757500,22.025000,21.597500,21.780001,21.665689,7468800
2018-06-27,21.957500,22.150000,21.155001,21.162500,21.051430,9080000
2018-06-28,21.112499,21.684999,21.040001,21.547501,21.434412,8293200
2018-06-29,21.752501,21.977501,21.600000,21.615000,21.501556,5190800
2018-07-02,21.247499,21.952499,21.157499,21.940001,21.824850,4394800
2018-07-03,22.087500,22.102501,21.395000,21.427500,21.315041,4212400
2018-07-05,21.715000,21.987499,21.490000,21.959999,21.844746,5404000
2018-07-06,22.049999,22.670000,21.975000,22.622499,22.503769,4587200
2018-07-09,22.860001,23.049999,22.695000,23.042500,22.921564,4941600
2018-07-10,23.105000,23.172501,22.917500,23.077499,22.956377,4080800
2018-07-11,22.725000,23.000000,22.674999,22.847500,22.727589,4840800
2018-07-12,23.042500,23.610001,23.012501,23.597500,23.473652,4757600
2018-07-13,23.605000,23.730000,23.490000,23.645000,23.520901,3818000
2018-07-16,23.662500,23.740000,23.465000,23.542500,23.418940,3529600
2018-07-17,23.037500,23.922501,23.037500,23.837500,23.712393,4098800
2018-07-18,23.820000,23.852501,23.587500,23.732500,23.607944,4176000
2018-07-19,23.580000,23.712500,23.437500,23.500000,23.376663,4807600
2018-07-20,23.645000,23.780001,23.424999,23.469999,23.346819,5156400
2018-07-23,23.325001,23.639999,23.147499,23.617500,23.493546,3625600
2018-07-24,24.115000,24.277500,23.629999,23.822500,23.697472,5650400
2018-07-25,23.840000,24.507500,23.820000,24.475000,24.346546,5290800
2018-07-26,23.807501,23.967501,23.677500,23.764999,23.640272,5950000
2018-07-27,24.045000,24.059999,22.825001,23.110001,22.988708,9067200
2018-07-30,23.102501,23.117500,22.219999,22.447500,22.329687,7322400
2018-07-31,22.600000,22.952499,22.365000,22.705000,22.585833,5764400
2018-08-01,22.889999,23.084999,22.697500,22.945000,22.824577,4694400
2018-08-02,22.620001,23.622499,22.600000,23.570000,23.446297,6013200
2018-08-03,23.632500,23.712500,23.455000,23.705000,23.580587,4283600
2018-08-06,23.692499,24.000000,23.617500,24.000000,23.874039,5071600
2018-08-07,24.110001,24.247499,24.014999,24.142500,24.015793,3604400
2018-08-08,24.087500,24.302500,23.957500,24.184999,24.058065,3407200
2018-08-09,24.187500,24.362499,24.115000,24.165001,24.038174,3316400
2018-08-10,23.850000,23.995001,23.632500,23.805000,23.680063,6049600
2018-08-13,23.879999,24.192499,23.730000,23.762501,23.637787,4998800
2018-08-14,23.934999,24.105000,23.682501,24.049999,23.923775,3390400
2018-08-15,23.687500,23.815001,23.165001,23.472500,23.349308,6827600
2018-08-16,23.815001,23.910000,23.514999,23.602501,23.478626,4048800
2018-08-17,23.475000,23.732500,23.197500,23.615000,23.491058,4578800
2018-08-20,23.730000,23.735001,23.389999,23.580000,23.456244,4886400
2018-08-21,23.719999,24.025000,23.684999,23.742500,23.617889,5022000
2018-08-22,23.629999,23.975000,23.580000,23.917500,23.791971,2958400
2018-08-23,23.842501,24.174999,23.775000,23.847500,23.722340,4815200
2018-08-24,23.995001,24.327499,23.995001,24.285000,24.157543,3278800
2018-08-27,24.545000,24.775000,24.459999,24.775000,24.644970,4469200
2018-08-28,24.915001,24.957500,24.747499,24.852501,24.722063,3021600
2018-08-29,24.924999,25.450001,24.917500,25.427500,25.294048,3313200
2018-08-30,25.322500,25.627501,25.160000,25.320000,25.187109,4399200
2018-08-31,25.254999,25.530001,25.205000,25.379999,25.246796,2772800
2018-09-04,25.240000,25.305000,24.897499,25.174999,25.042870,3074000
2018-09-05,25.082500,25.082500,24.352501,24.522499,24.393797,5756000
2018-09-06,24.535000,24.590000,23.745001,24.080000,23.953617,7111200
2018-09-07,23.732500,24.297501,23.707500,23.930000,23.804409,6531600
2018-09-10,24.150000,24.182501,23.782499,24.040001,23.913828,3967600
2018-09-11,23.837500,24.487499,23.727501,24.405001,24.276915,4271600
2018-09-12,24.312500,24.372499,23.852501,24.275000,24.147594,5580400
2018-09-13,24.547501,24.867500,24.547501,24.750000,24.620102,4353600
2018-09-14,24.809999,24.885000,24.434999,24.620001,24.490788,5106400
2018-09-17,24.540001,24.572500,23.872499,23.924999,23.799431,4828800
2018-09-18,23.955000,24.540001,23.940001,24.307501,24.179926,3432000
